Date,Confirmed,,,,,,,,,,,,,,,,,,2/15/2020,2/16/2020,2/17/2020
3/22/2020,21,,,,,,,,,,,,,,,,,,,,
3/22/2020,2,,,,,,,,,,,,,,,,,,,,
3/22/2020,26,,,,,,,,,,,,,,,,,,,,
3/22/2020,52,,,,,,,,,,,,,,,,,,,,
3/22/2020,4,,,,,,,,,,,,,,,,,,,,
3/22/2020,67,,,,,,,,,,,,,,,,,,,,
3/22/2020,2,,,,,,,,,,,,,,,,,,,,
3/22/2020,1,,,,,,,,,,,,,,,,,,,,
3/22/2020,21,,,,,,,,,,,,,,,,,,,,
3/22/2020,24,,,,,,,,,,,,,,,,,,,,
3/22/2020,7,,,,,,,,,,,,,,,,,,,,
3/22/2020,22,,,,,,,,,,,,,,,,,,,,
3/22/2020,5,,,,,,,,,,,,,,,,,,,,
3/22/2020,4,,,,,,,,,,,,,,,,,,,,
3/22/2020,13,,,,,,,,,,,,,,,,,,,,
3/22/2020,27,,,,,,,,,,,,,,,,,,,,
3/22/2020,3,,,,,,,,,,,,,,,,,,,,
3/22/2020,4,,,,,,,,,,,,,,,,,,,,
3/23/2020,7,,,,,,,,,,,,,,,,,,,,
3/23/2020,2,,,,,,,,,,,,,,,,,,,,
3/23/2020,1,,,,,,,,,,,,,,,,,,,,
3/23/2020,29,,,,,,,,,,,,,,,,,,,,
3/23/2020,29,,,,,,,,,,,,,,,,,,,,
3/23/2020,26,,,,,,,,,,,,,,,,,,,,
3/23/2020,2,,,,,,,,,,,,,,,,,,,,
3/23/2020,33,,,,,,,,,,,,,,,,,,,,
3/23/2020,67,,,,,,,,,,,,,,,,,,,,
3/23/2020,6,,,,,,,,,,,,,,,,,,,,
3/23/2020,74,,,,,,,,,,,,,,,,,,,,
3/23/2020,2,,,,,,,,,,,,,,,,,,,,
3/23/2020,1,,,,,,,,,,,,,,,,,,,,
3/23/2020,21,,,,,,,,,,,,,,,,,,,,
3/23/2020,28,,,,,,,,,,,,,,,,,,,,
3/23/2020,9,,,,,,,,,,,,,,,,,,,,
3/23/2020,32,,,,,,,,,,,,,,,,,,,,
3/23/2020,6,,,,,,,,,,,,,,,,,,,,
3/23/2020,4,,,,,,,,,,,,,,,,,,,,
3/23/2020,13,,,,,,,,,,,,,,,,,,,,
3/23/2020,31,,,,,,,,,,,,,,,,,,,,
3/23/2020,3,,,,,,,,,,,,,,,,,,,,
3/23/2020,7,,,,,,,,,,,,,,,,,,,,
3/24/2020,8,,,,,,,,,,,,,,,,,,,,
3/24/2020,3,,,,,,,,,,,,,,,,,,,,
3/24/2020,1,,,,,,,,,,,,,,,,,,,,
3/24/2020,30,,,,,,,,,,,,,,,,,,,,
3/24/2020,33,,,,,,,,,,,,,,,,,,,,
3/24/2020,28,,,,,,,,,,,,,,,,,,,,
3/24/2020,3,,,,,,,,,,,,,,,,,,,,
3/24/2020,37,,,,,,,,,,,,,,,,,,,,
3/24/2020,95,,,,,,,,,,,,,,,,,,,,
3/24/2020,7,,,,,,,,,,,,,,,,,,,,
3/24/2020,89,,,,,,,,,,,,,,,,,,,,
3/24/2020,1,,,,,,,,,,,,,,,,,,,,
3/24/2020,2,,,,,,,,,,,,,,,,,,,,
3/24/2020,1,,,,,,,,,,,,,,,,,,,,
3/24/2020,29,,,,,,,,,,,,,,,,,,,,
3/24/2020,32,,,,,,,,,,,,,,,,,,,,
3/24/2020,15,,,,,,,,,,,,,,,,,,,,
3/24/2020,35,,,,,,,,,,,,,,,,,,,,
3/24/2020,7,,,,,,,,,,,,,,,,,,,,
3/24/2020,4,,,,,,,,,,,,,,,,,,,,
3/24/2020,13,,,,,,,,,,,,,,,,,,,,
3/24/2020,33,,,,,,,,,,,,,,,,,,,,
3/24/2020,4,,,,,,,,,,,,,,,,,,,,
